Modality,Stage,Metric,VersionsCompared,KruskalStatistic,PValue
T1,original,median,"8.4.1, 8.5.1, 8.6.0",68.5187670026546,1.3223267755274205e-15
T1,original,iqr,"8.4.1, 8.5.1, 8.6.0",68.19476286374397,1.554874699117266e-15
T1,original,cv,"8.4.1, 8.5.1, 8.6.0",22.6779996288398,1.189967089133103e-05
T1,original,mean,"8.4.1, 8.5.1, 8.6.0",68.40418286957743,1.4002978445792106e-15
T1,original,std,"8.4.1, 8.5.1, 8.6.0",68.68867399301581,1.21462987214432e-15
T1,original,entropy,"8.4.1, 8.5.1, 8.6.0",69.85571114827425,6.776806096631597e-16
T1,bias,median,"8.4.1, 8.5.1, 8.6.0",69.52183421863882,8.008026719316386e-16
T1,bias,iqr,"8.4.1, 8.5.1, 8.6.0",67.85015480774423,1.8472517444549652e-15
T1,bias,cv,"8.4.1, 8.5.1, 8.6.0",18.7401334607297,8.523770028727698e-05
T1,bias,mean,"8.4.1, 8.5.1, 8.6.0",67.97533446519522,1.7351765433476257e-15
T1,bias,std,"8.4.1, 8.5.1, 8.6.0",68.00540134402424,1.7092859716931286e-15
T1,bias,entropy,"8.4.1, 8.5.1, 8.6.0",66.6670576729951,3.3375852231051513e-15
T1,final,median,"8.4.1, 8.5.1, 8.6.0",2.8688919763768186,0.23824731928788728
T1,final,iqr,"8.4.1, 8.5.1, 8.6.0",0.5236997981126486,0.7696265367074915
T1,final,cv,"8.4.1, 8.5.1, 8.6.0",1.3519957915142216,0.508648588999364
T1,final,mean,"8.4.1, 8.5.1, 8.6.0",1.7924861739921398,0.4080999794212753
T1,final,std,"8.4.1, 8.5.1, 8.6.0",0.6118769542603024,0.736431925467911
T1,final,entropy,"8.4.1, 8.5.1, 8.6.0",5.130886502055174,0.0768850944907154
T2,original,median,"8.4.1, 8.5.1, 8.6.0",67.0695638717822,2.7291616087786225e-15
T2,original,iqr,"8.4.1, 8.5.1, 8.6.0",72.52328595680207,1.7855357486592127e-16
T2,original,cv,"8.4.1, 8.5.1, 8.6.0",12.17163249200147,0.0022749066827299855
T2,original,mean,"8.4.1, 8.5.1, 8.6.0",71.91931711610634,2.4150087972500937e-16
T2,original,std,"8.4.1, 8.5.1, 8.6.0",72.72720624312684,1.6124558127092455e-16
T2,original,entropy,"8.4.1, 8.5.1, 8.6.0",70.87268134835077,4.07561156906086e-16
T2,bias,median,"8.4.1, 8.5.1, 8.6.0",67.19745052381312,2.5601123212164035e-15
T2,bias,iqr,"8.4.1, 8.5.1, 8.6.0",70.8874257154644,4.045675893695561e-16
T2,bias,cv,"8.4.1, 8.5.1, 8.6.0",9.093408300627056,0.0106020897580039
T2,bias,mean,"8.4.1, 8.5.1, 8.6.0",70.8675845338599,4.086011132646393e-16
T2,bias,std,"8.4.1, 8.5.1, 8.6.0",71.17374645939672,3.506043726078557e-16
T2,bias,entropy,"8.4.1, 8.5.1, 8.6.0",70.17791584843518,5.768450865867969e-16
T2,final,median,"8.4.1, 8.5.1, 8.6.0",30.96453884633919,1.8885818958574312e-07
T2,final,iqr,"8.4.1, 8.5.1, 8.6.0",9.929607917697027,0.006979318808689742
T2,final,cv,"8.4.1, 8.5.1, 8.6.0",21.985805937444308,1.6820654894357848e-05
T2,final,mean,"8.4.1, 8.5.1, 8.6.0",27.595571126584556,1.0178830146437614e-06
T2,final,std,"8.4.1, 8.5.1, 8.6.0",9.807600536278212,0.007418337762401041
T2,final,entropy,"8.4.1, 8.5.1, 8.6.0",3.4525791969911195,0.17794342816633488
